PositionX;PositionY;PositionZ;Mass;VelocityX;VelocityY;VelocityZ;Size;AccelerationX;AccelerationY;AccelerationZ;Force;ColorR;ColorG;ColorB;Movable
0;0;0;100000;0;0;0;10;0;0;0;0;1;1;1;0
-159.562;-83.0201;-46.1744;9.22779;6.45066;3.78857e-10;-22.2911;1.43249;5.43788;2.95982;1.09176;8.4375;1;1;1;1
-34.2983;-157.684;-57.4257;14.0999;20.7442;8.45411e-10;-12.3897;0.56679;1.34719;6.60478;2.02794;9.26587;1;1;1;1
93.8584;-61.5486;70.8937;14.1052;-16.5421;6.33834e-10;21.9006;1.87118;-7.69405;4.95183;-4.69968;14.1642;1;1;1;1
-5.58478;12.9118;-26.4656;11.8214;56.5171;-7.31665e-09;-11.9262;0.628361;23.4037;-57.1613;100.244;158.457;1;1;1;1
-167.029;123.727;-86.6143;9.44108;9.70091;-3.35951e-10;-18.7074;0.719321;3.47534;-2.62462;1.39241;6.34181;1;1;1;1
42.1865;12.19;-31.8684;12.6347;25.8771;-1.2259e-09;34.2554;1.98869;-34.7713;-9.57738;22.78;55.8091;1;1;1;1
-87.9485;281.927;-29.3164;1.06687;5.80479;-3.82008e-10;-17.4142;1.41395;0.932684;-2.98444;0.350796;3.63325;1;1;1;1
-169.915;120.841;114.186;3.46178;-11.4399;-2.91475e-10;-17.0231;0.609363;3.16889;-2.27715;-1.84051;5.31026;1;1;1;1
84.2366;213.725;-143.997;12.2528;16.5769;-3.82717e-10;9.69734;1.84582;-1.10948;-2.98998;1.78831;4.40051;1;1;1;1
10.6186;-241.643;84.6394;14.0459;-19.6007;4.79471e-10;2.45905;1.70858;-0.197796;3.74587;-1.1871;4.76555;1;1;1;1
15.3262;-18.3067;21.6351;7.64977;-45.4601;7.89095e-09;32.2037;1.03322;-52.4099;61.648;-67.2899;131.099;1;1;1;1
53.7179;5.35317;-146.176;4.19591;23.7779;-3.90154e-11;8.7381;0.683157;-4.49467;-0.304808;6.67692;14.6424;1;1;1;1
-25.2227;60.5639;76.6331;7.31478;-29.9063;-1.3252e-09;-9.84322;1.02374;4.40346;-10.3531;-10.352;23.2731;1;1;1;1
15.9867;3.49025;21.8175;5.94165;-48.8446;-2.47427e-09;35.7907;0.89378;-89.6197;-19.3302;-107.58;175.538;1;1;1;1
73.9072;-83.8407;-14.798;5.58719;5.84709;1.20682e-09;29.2028;1.56973;-8.2064;9.42824;1.63205;16.9377;1;1;1;1
-6.48969;-15.8047;52.2891;12.3909;-42.3118;2.05175e-09;-5.25138;1.05007;6.98627;16.0293;-38.4185;64.4684;1;1;1;1
-68.0766;-9.63197;-275.608;5.05528;18.2154;2.25259e-11;-4.4993;0.735023;1.58012;0.175984;3.90667;5.59379;1;1;1;1
96.6739;-77.9817;-67.743;5.69871;15.2569;6.62189e-10;21.7727;1.60004;-6.32259;5.17335;3.79795;12.3503;1;1;1;1
1.58425;-9.69171;38.9829;7.0152;-49.8338;2.85952e-09;2.02523;0.601306;-2.16962;22.34;-67.0877;107.942;1;1;1;1
-161.163;53.4119;132.657;9.09371;-13.6913;-1.65929e-10;-16.6333;1.49182;4.04536;-1.29632;-2.62387;6.81567;1;1;1;1
-15.9798;27.6613;-77.1653;2.72454;33.8841;-1.20585e-09;-7.0169;0.838481;5.55949;-9.42074;17.9565;33.0251;1;1;1;1
-70.621;6.12222;75.4903;4.63932;-22.6932;-1.1927e-10;-21.2295;1.38965;11.2623;-0.931795;-9.24293;21.2553;1;1;1;1
-108.272;-83.136;-54.9253;9.00432;11.7939;6.29637e-10;-23.2489;1.27548;6.62489;4.91904;2.45498;12.0029;1;1;1;1
-35.6326;-7.40095;42.8665;10.2363;-32.4296;8.36274e-10;-26.957;1.31169;25.7883;6.53339;-27.0253;55.6746;1;1;1;1
-1.89872;-4.71124;274.48;10.8474;-19.0852;2.51052e-10;-0.132023;1.93646;0.379507;1.96134;-4.94334;13.0212;1;1;1;1
16.9048;20.5825;39.7709;6.48241;-42.0652;-3.23367e-09;17.88;0.667913;-21.7356;-25.263;-38.6821;73.569;1;1;1;1
50.2444;-166.55;-88.8663;3.26308;19.6954;6.02521e-10;11.1356;0.98854;-1.63987;4.7072;2.34373;7.73228;1;1;1;1
-20.6406;4.0357;-18.7013;10.3412;40.0236;-2.54521e-09;-44.1738;1.23473;102.33;-19.8845;85.4592;161.074;1;1;1;1
142.876;29.0184;181.912;13.6609;-16.288;-5.88183e-11;12.7928;1.3625;-3.57345;-0.459518;-3.15795;6.82151;1;1;1;1
-202.692;-84.3686;-184.197;2.84313;12.5629;1.39414e-10;-13.8243;0.658757;2.57358;1.08917;2.02168;4.00753;1;1;1;1
128.114;7.77221;30.2469;0.706214;-6.32764;-7.30052e-12;26.8013;0.645665;-10.2036;-0.0570353;-1.81641;14.2913;1;1;1;1
-6.0111;21.7212;-134.32;12.1272;27.0696;-3.59819e-10;-1.21142;0.564592;1.16012;-2.81109;9.3908;21.4318;1;1;1;1
-43.3345;46.9005;-12.5873;5.36859;10.9338;-2.8573e-09;-37.642;1.89782;20.9991;-22.3227;4.91744;41.2074;1;1;1;1
32.2344;168.111;-225.292;11.2917;18.6101;-3.23521e-10;2.6627;0.692038;-0.479383;-2.5275;2.6764;4.46793;1;1;1;1
-39.7706;-34.3599;-112.012;13.3476;26.7905;5.72358e-10;-9.51211;0.986709;5.27716;4.47155;9.48601;19.1285;1;1;1;1
254.566;133.008;-78.9811;10.1469;5.42932;-1.78361e-10;17.4993;1.64412;-2.67757;-1.39345;0.733;3.44228;1;1;1;1
-98.951;51.9425;173.888;4.78181;-19.1167;-2.12042e-10;-10.8783;1.57706;3.25569;-1.65658;-4.11998;8.13132;1;1;1;1
-7.09966;11.2258;-85.1527;4.23043;33.9458;-9.59951e-10;-2.83025;1.22407;3.88362;-7.49962;18.7199;38.4817;1;1;1;1
-10.972;101.603;186.349;1.2129;-21.6539;-4.47528e-10;-1.27495;1.21143;0.31504;-3.49632;-4.15173;8.19683;1;1;1;1
-7.98031;-0.864894;42.8392;6.85501;-47.0896;1.53069e-10;-8.77211;1.41665;19.4336;1.19585;-57.7296;95.9255;1;1;1;1
-13.314;2.54758;25.0823;1.68197;-52.3106;-2.08829e-09;-27.7672;1.19207;66.172;-16.3148;-108.62;166.82;1;1;1;1
-120.594;-6.87556;28.1967;13.6233;-6.46453;9.81402e-11;-27.6481;1.76397;10.958;0.766721;-2.25492;15.2572;1;1;1;1
-44.7853;28.1198;-46.2386;2.23556;27.1019;-1.52721e-09;-26.25;0.889203;17.5197;-11.9313;15.0525;40.6489;1;1;1;1
34.6325;-142.303;-196.922;1.74259;19.8809;3.77445e-10;3.49644;1.63465;-0.760526;2.94879;3.03927;5.63298;1;1;1;1
37.6655;-13.5419;189.247;12.9852;-22.2997;1.9058e-10;4.43828;0.853359;-2.47677;1.48891;-5.82969;12.6765;1;1;1;1
-6.02801;10.2253;148.85;7.8197;-25.8572;-3.65982e-10;-1.04714;1.62636;1.71564;-2.85924;-8.15662;19.9592;1;1;1;1
29.3831;3.01919;22.9514;3.32814;-31.8278;-8.79339e-10;40.747;0.88728;-65.7046;-6.86984;-45.4962;102.112;1;1;1;1
-123.094;119.282;-56.6074;2.92633;9.83385;-5.42411e-10;-21.3839;1.01271;4.55587;-4.23758;1.69181;8.56067;1;1;1;1
-189.185;97.4657;57.2933;13.5238;-6.17396;-2.72496e-10;-20.3867;1.21857;4.13039;-2.12887;-1.18406;6.15899;1;1;1;1
42.2406;50.8311;-227.256;14.0119;20.2093;-2.28929e-10;3.75635;1.68377;-1.40268;-1.78851;4.33551;7.74977;1;1;1;1
-218.799;82.7169;-162.869;2.58957;11.1843;-1.33984e-10;-15.0251;1.30166;2.7058;-1.04675;1.76252;3.87871;1;1;1;1
111.316;123.293;56.0964;1.84127;-10.7477;-6.33982e-10;21.3273;0.871853;-4.26526;-4.95298;-1.91797;9.07036;1;1;1;1
152.812;66.0608;-119.218;6.54303;13.5933;-2.26062e-10;17.4238;1.74735;-4.27345;-1.76611;2.86117;7.45748;1;1;1;1
26.8827;41.9171;-137.098;10.069;25.6943;-5.35254e-10;5.03822;1.53966;-2.54016;-4.18167;8.17503;16.5255;1;1;1;1
-9.18512;-113.541;41.7959;9.3517;-28.0389;1.41774e-09;-6.16186;1.12564;0.978928;11.0761;-3.24664;15.666;1;1;1;1
4.3067;32.2667;46.7909;3.91978;-41.7089;-3.19016e-09;3.83895;1.07181;-3.04687;-24.9231;-29.2223;53.9128;1;1;1;1
62.1563;47.8965;72.489;13.2202;-23.2263;-9.175e-10;19.9155;1.09168;-8.94252;-7.16797;-8.28808;20.4289;1;1;1;1
44.5633;172.974;141.309;1.2837;-19.9836;-4.98474e-10;6.30204;0.793985;-0.87092;-3.89433;-2.56815;6.20428;1;1;1;1
0.873054;7.0232;164.672;11.5103;-24.6311;-3.22595e-10;0.130589;0.639851;0.107599;-2.52028;-6.84818;19.6446;1;1;1;1
-43.2773;266.037;-127.165;12.402;17.3411;-3.67407e-10;-5.90159;1.27822;0.462462;-2.87036;1.19417;3.47915;1;1;1;1
-167.92;-9.73532;-170.639;14.3004;14.5613;2.1515e-11;-14.3292;0.981994;3.47206;0.168086;2.83257;5.8548;1;1;1;1
-0.602309;2.03602;-189.328;8.78306;22.9814;-1.83613e-10;-0.0731108;1.82403;1.39438;-1.43447;6.86461;19.3228;1;1;1;1
3.62462;-48.1281;157.367;4.85482;-24.6415;5.24688e-10;0.567568;0.758415;-0.117361;4.09913;-6.73721;14.0625;1;1;1;1
-4.79179;17.4452;-280.01;14.6632;18.8755;-2.02117e-10;-0.323014;0.861782;0.42451;-1.57904;4.7141;8.40344;1;1;1;1
-154.064;169.983;172.611;14.6672;-13.9237;-2.65154e-10;-12.4276;0.716895;1.84199;-2.07151;-1.76204;3.83407;1;1;1;1
118.2;117.838;-241.929;8.12238;16.5732;-2.10125e-10;8.09716;1.75106;-1.62982;-1.6416;2.69809;4.17466;1;1;1;1
-140.437;118.305;137.583;12.3422;-14.6095;-3.204e-10;-14.9126;1.81552;3.09485;-2.50313;-2.42891;6.12334;1;1;1;1
11.0323;-190.286;-214.273;13.2091;18.6488;3.76291e-10;0.960174;1.97624;0.180838;2.93977;2.29091;4.5712;1;1;1;1
