PositionX;PositionY;PositionZ;Mass;VelocityX;VelocityY;VelocityZ;Size;AccelerationX;AccelerationY;AccelerationZ;Force;ColorR;ColorG;ColorB;Movable
1.11188e-19;2.17341e-21;4.04112e-20;100000;2.01737e-10;3.94338e-12;7.33212e-11;10;0.258637;0.00505562;0.0940015;7.26538;1;1;1;1
-132.654;249.326;-74.93;4.93312;9.09853;-1.11504e-09;-16.1078;1.8368;0.896934;-1.42954;0.404383;1.86666;1;1;1;1
-121.362;-72.3318;46.073;4.30729;-9.20683;2.05998e-09;-24.252;1.01038;4.67153;2.641;-1.63638;6.25333;1;1;1;1
18.3284;-113.629;107.663;2.62688;-24.8321;2.91535e-09;4.2274;0.616642;-0.271818;3.73763;-3.24975;5.96139;1;1;1;1
49.2683;32.4304;67.2884;3.22222;-26.9727;-4.07917e-09;19.7493;1.77628;-7.51062;-5.2297;-10.0535;15.8582;1;1;1;1
0.993522;-3.96305;29.7615;3.88087;-57.6639;1.3983e-08;1.92498;1.03331;-5.18146;17.9269;-111.389;126.843;1;1;1;1
-43.7799;-37.3716;1.82167;2.49655;-1.73238;1.61154e-08;-41.6342;1.29099;24.4794;20.6608;-0.901027;34.1319;1;1;1;1
-91.6729;16.5047;203.93;1.34845;-19.2628;-1.92039e-10;-8.65925;1.97198;1.4799;-0.246204;-2.37005;3.38652;1;1;1;1
-24.653;-8.86377;55.4185;2.02577;-36.9033;3.48232e-09;-16.4165;0.696387;13.0223;4.46452;-25.2694;32.6625;1;1;1;1
-2.71028;1.90801;39.1035;3.5547;-50.3587;-4.10398e-09;-3.49038;1.08348;7.05023;-5.26152;-65.4812;78.1511;1;1;1;1
37.0649;72.9031;-240.881;4.7539;19.5962;-6.43482e-10;3.01532;0.903073;-0.102385;-0.824978;2.12544;2.89971;1;1;1;1
-28.8542;-133.023;237.933;4.14414;-18.961;8.05897e-10;-2.29941;1.76479;0.437006;1.0332;-1.68405;2.33977;1;1;1;1
25.8174;150.851;3.80082;1.22594;-3.72248;-3.94422e-09;25.2853;1.17957;-0.565906;-5.0567;-0.130431;5.96109;1;1;1;1
-14.2671;18.2671;7.03105;4.82215;-28.4036;-1.01092e-07;-57.6353;0.801813;101.423;-129.605;-49.605;178.233;1;1;1;1
-52.743;0.151523;-24.8592;2.45741;17.6562;7.07542e-11;-37.4605;1.9859;28.5488;0.0907106;12.8536;34.0296;1;1;1;1
4.77049;-9.03706;-119.071;3.18377;28.9036;8.7259e-10;1.158;1.57921;-0.222241;1.1187;7.99155;11.3165;1;1;1;1
-15.4547;-38.9054;29.7419;1.64838;-39.1576;2.2796e-08;-20.3473;0.718635;12.5883;29.2257;-21.7996;45.0308;1;1;1;1
-4.42445;-12.4711;-277.518;3.45074;18.9693;1.39428e-10;-0.302426;1.72497;0.405142;0.178753;1.96744;3.23787;1;1;1;1
-44.4081;90.6337;-0.77429;2.322;0.548734;-7.68259e-09;-31.4717;0.633442;5.0885;-9.84947;0.0397442;12.3099;1;1;1;1
55.5206;62.765;43.4361;3.02309;-20.0564;-6.4934e-09;25.6364;1.27149;-6.91048;-8.32487;-5.55864;14.1772;1;1;1;1
-218.628;-60.4582;128.011;3.27798;-9.90055;3.61901e-10;-16.909;1.57939;1.82261;0.463976;-0.946277;2.29981;1;1;1;1
15.2126;118.657;-70.8326;1.28129;26.2217;-4.19602e-09;5.63158;1.30166;-0.376565;-5.37951;2.95293;7.25871;1;1;1;1
11.0649;42.4765;8.38153;4.69004;-28.5636;-3.84543e-08;37.7082;1.51178;-12.5977;-49.3004;-10.7113;56.6067;1;1;1;1
-104.002;-15.5091;6.01484;0.791009;-1.77908;1.13573e-09;-30.7618;1.05652;10.2261;1.45607;-0.559039;11.3554;1;1;1;1
-0.660567;27.7749;-39.1768;4.5078;45.6237;-2.1427e-08;-0.769268;1.72927;1.2153;-27.4705;36.2483;50.0654;1;1;1;1
-4.37637;-5.6145;-163.096;4.54282;24.7409;4.70111e-10;-0.663874;1.54314;0.667439;0.602707;4.64506;7.83651;1;1;1;1
64.7766;-39.2654;-204.144;2.39836;20.4266;5.38751e-10;6.48153;1.09584;-0.723384;0.690706;2.60105;3.76445;1;1;1;1
129.428;-131.932;-16.4158;3.65276;2.92108;2.10823e-09;23.0308;1.73339;-2.03325;2.70286;0.37228;4.52683;1;1;1;1
144.138;-30.4268;61.4336;2.06464;-9.81407;7.01064e-10;23.0262;1.84797;-3.90797;0.8988;-1.78337;5.92381;1;1;1;1
-50.7998;110.46;-6.35877;2.13811;3.55963;-5.5072e-09;-28.4377;0.929716;3.48523;-7.06051;0.371214;8.85392;1;1;1;1
52.2285;47.7034;-214.95;3.7364;20.4273;-5.50648e-10;4.96344;1.63671;-0.471122;-0.705958;2.51187;3.6328;1;1;1;1
39.0982;31.6752;30.1467;0.99852;-25.2118;-1.31511e-08;32.6979;1.22269;-20.1834;-16.8604;-15.4635;33.5127;1;1;1;1
12.5558;-58.5315;-43.147;0.753517;35.3463;1.23748e-08;10.2858;0.902799;-3.0444;15.8651;11.3608;21.6294;1;1;1;1
46.5524;-184.642;79.0667;4.47621;-18.9778;2.21603e-09;11.1736;1.12171;-0.393331;2.84107;-1.15996;3.68738;1;1;1;1
-51.8954;33.0018;-22.3984;4.2595;15.4893;-9.94057e-09;-35.8876;1.71682;20.1686;-12.7443;8.23404;27.3893;1;1;1;1
94.027;48.6474;-52.5151;4.56479;14.1844;-2.70613e-09;25.3969;1.33732;-6.19086;-3.46939;3.49739;9.58927;1;1;1;1
-50.7103;-56.4925;128.576;3.90724;-24.0744;1.7294e-09;-9.49491;1.52423;2.34565;2.21718;-4.43674;6.82412;1;1;1;1
-34.6588;47.9699;45.6486;0.681005;-29.1327;-9.82094e-09;-22.119;0.770409;9.2737;-12.5909;-11.4764;21.4579;1;1;1;1
3.84283;-7.71515;-149.93;0.975173;25.7962;4.45448e-10;0.661178;1.504;-0.311696;0.571087;5.21925;8.28311;1;1;1;1
141.106;-20.9578;-153.005;1.93815;16.0725;2.80758e-10;14.8226;1.95843;-1.59667;0.359946;2.22591;3.87472;1;1;1;1
-22.5086;42.4623;104.501;2.68731;-28.8245;-2.83397e-09;-6.20853;0.665441;2.3485;-3.63329;-7.68785;10.8918;1;1;1;1
-2.47194;-34.5054;9.57335;4.75527;-51.1062;5.98851e-08;-13.1961;1.97702;5.77444;76.7758;-20.7548;83.973;1;1;1;1
45.6256;-138.554;117.439;0.667409;-21.5396;2.20018e-09;8.36827;1.56282;-0.594591;2.82074;-2.20205;4.46198;1;1;1;1
-197.361;-76.61;-210.293;4.14634;13.3484;3.14719e-10;-12.5275;1.03825;1.23705;0.403486;1.16382;1.8815;1;1;1;1
33.0447;-28.6149;32.1278;2.62276;-29.929;1.49077e-08;30.7832;1.78063;-21.6468;19.1125;-20.6755;39.0218;1;1;1;1
-97.9094;73.2271;31.5113;3.52367;-8.62201;-3.29775e-09;-26.7896;1.6953;5.84875;-4.22788;-1.67188;8.31124;1;1;1;1
