PositionX;PositionY;PositionZ;Mass;VelocityX;VelocityY;VelocityZ;Size;AccelerationX;AccelerationY;AccelerationZ;Force;ColorR;ColorG;ColorB;Movable
600;150;6.56e-07;70000;-2.39319e-08;-5;10;10;-0.364815;-0.0620231;-0.069822;13.7703;1;1;1;1
650.104;72.8238;-102.072;2.35922;20.2601;-5;19.9451;1.61061;-2.57361;3.37475;4.01416;6.96959;1;1;1;1
614.235;75.0647;-95.9241;2.96266;23.6405;-5;13.5082;0.676061;-1.18283;4.52007;5.12772;8.8163;1;1;1;1
571.368;49.174;81.5702;1.98553;-21.662;-5;2.39648;1.24659;1.00007;4.73299;-3.68865;7.17048;1;1;1;1
642.26;178.437;99.0787;2.29138;-23.0569;-5;19.8344;0.740471;-4.3017;-2.83998;-6.71811;11.3152;1;1;1;1
557.005;154.509;-59.1871;2.87587;25.0032;-5;-8.16303;0.874187;9.72839;-1.27877;12.6428;21.2692;1;1;1;1
581.279;231.181;1.61353;4.49008;-2.4888;-5;-18.8767;1.68166;2.72648;-12.8094;-0.482044;15.7568;1;1;1;1
645.632;131.569;138.674;4.17614;-20.718;-5;16.8175;0.718497;-2.04217;0.635524;-5.13535;6.47157;1;1;1;1
582.653;158.196;21.0783;3.88705;-38.2657;-5;-21.4911;1.22471;56.3764;-25.9895;-65.0215;103.069;1;1;1;1
494.372;140.74;68.0166;0.631291;-12.7621;-5;-9.81922;1.62275;5.04821;0.303273;-3.30728;7.89931;1;1;1;1
581.455;164.245;11.8269;3.4642;-27.7908;-5;-33.5765;0.628452;75.9899;-56.4828;-43.8497;119.014;1;1;1;1
606.851;158.06;40.3089;3.9277;-40.4048;-5;16.8675;0.913236;-9.45826;-10.4862;-40.8749;56.4327;1;1;1;1
645.866;37.6899;-44.4071;4.42499;16.1916;-5;26.7237;1.69814;-2.60722;5.15201;1.96492;7.38342;1;1;1;1
560.871;136.118;20.2489;3.20011;-17.8914;-5;-24.5729;1.04022;31.1494;11.0728;-15.4076;42.9544;1;1;1;1
613.14;148.642;43.323;4.03207;-37.6207;-5;21.4105;1.33041;-13.8156;1.24337;-35.2362;48.8672;1;1;1;1
625.448;137.832;99.4027;4.93724;-25.2148;-5;16.4553;0.541108;-3.52391;1.6805;-8.64826;13.0707;1;1;1;1
587.468;208.312;80.5809;0.646947;-26.1103;-5;5.93936;1.82353;1.20332;-4.35575;-7.00758;13.7948;1;1;1;1
587.288;170.016;-31.1087;3.60648;39.1601;-5;-6.00255;1.50748;16.3771;-27.1258;37.5006;60.1931;1;1;1;1
661.341;193.272;-43.347;3.12018;16.3996;-5;33.2074;0.788125;-9.23214;-6.29146;5.65444;14.9944;1;1;1;1
684.102;63.4779;-33.5662;0.678671;8.76338;-5;31.9571;1.42018;-4.66708;4.43054;1.57763;7.55182;1;1;1;1
624.633;149.717;22.0789;3.12513;-30.7031;-5;44.2544;1.93637;-52.017;0.518145;-44.7891;78.3447;1;1;1;1
561.984;123.886;-17.6386;3.90422;15.8469;-5;-24.154;1.89842;25.0579;16.9941;10.7964;39.06;1;1;1;1
628.367;148.121;-0.324402;3.50746;0.567416;-5;59.6166;1.98842;-89.8285;6.26603;0.941979;99.6611;1;1;1;1
613.866;92.7886;-3.3675;3.24241;8.13172;-5;43.482;1.01592;-5.94799;22.8822;1.25984;28.0458;1;1;1;1
646.973;180.15;106.603;2.05502;-22.0713;-5;19.7253;1.61354;-3.58478;-2.2945;-6.26385;9.40237;1;1;1;1
533.48;127.883;73.5721;1.35847;-19.468;-5;-7.60192;1.31237;5.96434;2.01388;-6.36851;11.7457;1;1;1;1
613.235;102.318;-111.867;4.09319;23.7561;-5;12.8106;1.39344;-1.34132;3.42721;6.51933;9.60527;1;1;1;1
557.618;145.94;-120.3;1.09713;22.0901;-5;2.21763;0.909803;2.68218;0.177343;6.24558;9.24266;1;1;1;1
571.332;77.6708;-38.418;2.28066;22.7636;-5;-6.98629;1.45524;3.78475;10.0933;5.06705;15.0578;1;1;1;1
